"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Scg2",719.477439503578,6.1537747789057,0.800686255380292,7.68562559623671,1.52251158515329e-14,2.43403927118456e-10
"Gm2663",4548.87453257845,28.8532415674186,3.90677177911704,7.38544332731399,1.51946247603187e-13,1.21458233021608e-09
"Gkn2",419.668554649751,8.67568144905935,1.33276081365281,6.50955622358163,7.53731411589481e-11,4.01663469236034e-07
"Vtcn1",132.606966432248,3.35883220266983,0.55188185755287,6.08614354087198,1.15662754639584e-09,4.62275114605757e-06
"Car2",681.044694811635,3.7790368451972,0.633141278712909,5.96871025828465,2.39136337182043e-09,7.64614524505863e-06
"Retnla",244.561662657843,7.54264724695241,1.34530819358166,5.60663146403009,2.06302288902281e-08,5.49692448780128e-05
"Klk1b24",24.791802143191,21.5812211801805,3.90905679591907,5.5208256893864,3.37410369313494e-08,7.7059708203069e-05
"Clec10a",244.252159149866,3.33696229124252,0.614396048960355,5.43128865637912,5.59485492021599e-08,0.000111806182011866
"Mal",527.321667042849,2.78255176451225,0.514748236154181,5.40565575377474,6.45717102568304e-08,0.00011470088131955
"Trpm5",63.7922196583668,6.75256250732105,1.31955399071383,5.11730672245414,3.09929391209384e-07,0.000495484117726442
"Prap1",104.608580789369,8.47817807985583,1.69845567235035,4.99169817492122,5.98507310621996e-07,0.000869848761355805
"Cckar",613.587066985042,11.035368892895,2.25361003147207,4.89675176218779,9.74337940288248e-07,0.00129806172094902
"Tox",89.491593230786,3.72563669757673,0.777715171459311,4.79048993037633,1.66374573164335e-06,0.00204602330859863
"Arhgef38",34.9723230077284,4.66867816261303,0.99369940312534,4.69828013172727,2.62361421205661e-06,0.0028285394431512
"Eef1a2",54.2100301024412,9.40472503052929,2.00273789823789,4.69593402052462,2.65391203147983e-06,0.0028285394431512
"Pcdhgb5",43.0954815885606,-3.38499974417548,0.728482715503954,-4.64664386969537,3.37378865060827e-06,0.00337104744732965
"Gsta1",188.336268163446,4.6302428581683,1.00437827628216,4.61005874729567,4.02555199260249e-06,0.00378567645327859
"Sfrp5",11.784493800903,7.18397097717803,1.5731642534404,4.56657399980148,4.95760076407269e-06,0.00440317574529056
"Ston1",400.669117764389,-1.60840610319393,0.355542048760968,-4.5238140152454,6.07350992658886e-06,0.00511037911559875
"Sh2d6",47.0474035696562,6.72643282564745,1.49118297647696,4.51080312192083,6.45826412447422e-06,0.00516241342789847
"Muc6",132.35434374971,5.39565640021872,1.1993610738098,4.49877565484037,6.83459348988262e-06,0.00520307838679778
"Cldn18",175.517676841897,4.85923475946909,1.08754863718257,4.46806201886985,7.89314242468562e-06,0.00550195255856001
"P2rx1",238.707367653068,6.57519426695561,1.47314484078892,4.46337256520845,8.06795898223399e-06,0.00550195255856001
"Ggt1",327.103842615125,6.72842177521237,1.50917609195319,4.45834108497199,8.2596397951736e-06,0.00550195255856001
"Esm1",350.295350297369,-3.95544080515648,0.891434985227036,-4.43716128568713,9.11529953441953e-06,0.0058290517462706
"Ttc39aos1",30.8582600754275,3.59653536060044,0.820464832289759,4.3835338445442,1.16769498086634e-05,0.00717997679196544
"Fer1l4",91.5368587757841,4.65076384603998,1.06729443452409,4.35752656024463,1.31540539966185e-05,0.00756231487758796
"Wnk2",154.623051575732,4.70760615482135,1.08071247663008,4.35602091825644,1.32448124458912e-05,0.00756231487758796
"Myo1a",127.40182285188,4.35079794485163,1.00570695736076,4.32610902510735,1.51766326809117e-05,0.00836651126447364
"1700012B09Rik",10.5653547830133,-6.64827034305213,1.56971178748243,-4.23534460024341,2.28201475233899e-05,0.0121608566152145
"2700081O15Rik",755.016649630571,-1.27537978536724,0.3017648530367,-4.2264026858427,2.37456893480478e-05,0.012245881793782
"Myo5c",324.718769533846,3.35978401984281,0.800156288897404,4.19890972109025,2.68203215008896e-05,0.0130659163099254
"Dsg2",657.244391510683,2.2678924487978,0.540277191815388,4.19764610306321,2.6970365811443e-05,0.0130659163099254
"Tff1",2770.8553265044,4.51941975922809,1.08595230920128,4.16171108154106,3.15871834718513e-05,0.0148524794754261
"Gm15318",2853.20605861629,4.51484942032377,1.09275953463617,4.13160377669636,3.60240988037036e-05,0.016454779073566
"Hmcn2",237.590973037585,4.07727921375625,0.990279873832691,4.11729988813759,3.83337127440286e-05,0.0170233629344107
"Ghrl",123.819762194663,4.97995976682371,1.21426085315469,4.10122730538963,4.10964615874974e-05,0.017757003551333
"Igsf23",165.998172757718,4.78650525236756,1.16947790199707,4.0928565167361,4.26091400671415e-05,0.0179261137435103
"Gm3776",56.277356933604,5.23313446733168,1.29796115829945,4.03181130180195,5.53486201034225e-05,0.0226886766562414
"Cd36",286.482436416939,3.45465388780541,0.859162534008945,4.020955001012,5.79626776119506e-05,0.0231662331745564
"Akr1b7",308.318526929256,4.86136858321367,1.21256995788581,4.00914483457084,6.09390332217975e-05,0.0237617640028507
"Acss1",114.774924949185,3.17818731909814,0.796866135933708,3.98835786311107,6.65322469615539e-05,0.024697431221362
"Fbp2",119.203788064732,3.32396041662681,0.834016329133855,3.98548601569805,6.73421435486446e-05,0.024697431221362
"Liph",97.3647589638066,3.35722716170443,0.842831719980756,3.9832710161657,6.79731640545399e-05,0.024697431221362
"Soga3",25.0546946731628,-2.78263716776045,0.703714406028555,-3.95421373205132,7.67867463167727e-05,0.0271148524723427
"Ubb-ps",239.400745186419,2.33291673536014,0.590551065890947,3.95040644256655,7.80185909631427e-05,0.0271148524723427
"Cyfip2",114.932344058222,3.91525572054643,0.994810571128556,3.93567965015168,8.29615769408875e-05,0.0280487910395567
"2210407C18Rik",695.043968563226,9.62576784610396,2.44801052292205,3.93207780602766,8.4214797641754e-05,0.0280487910395567
"Bend6",62.0433439095248,-2.51105048314849,0.640601354751922,-3.91983323875566,8.86102609047159e-05,0.0287177324388298
"Clec3b",157.414297659469,5.27748886790752,1.34747550917334,3.91657498186752,8.98158892813841e-05,0.0287177324388298
"Cyp2c65",46.2164681965082,4.21861121929001,1.08047063297576,3.90442006523714,9.44516031885554e-05,0.0292550771736762
"Rab11fip4",40.2616894865837,3.02318539578111,0.775337888411083,3.8991843955628,9.65172524900845e-05,0.0292550771736762
"Casr",12.5941040659449,7.2763410914166,1.86668077011502,3.89801041930069,9.69862444614272e-05,0.0292550771736762
"Ttc22",47.9093992793326,5.51233169350791,1.41645991165211,3.89162562820328,9.95748078519144e-05,0.0294796750579362
"Gstt2",173.681868430402,3.34356687792053,0.861510576001323,3.88105145898452,0.000104005829400832,0.0302316580842019
"Rflnb",459.976427160239,1.28806679052667,0.332463135062936,3.87431463726898,0.000106925193495448,0.0305252333644952
"Pkhd1l1",84.9394722549148,-4.80716578673218,1.24487320770737,-3.86157060572082,0.000112660443747846,0.0315982897227512
"Cdh10",44.9351912691118,-5.16478407121866,1.34048943010234,-3.852909210052,0.000116722678792244,0.0321731976870966
"Jcad",607.054393276038,-1.60231284867316,0.417813966904888,-3.83499110990206,0.000125568836174501,0.0331157604247043
"Cd209d",10.6068592474527,6.04513907060347,1.57673931823932,3.83394959501221,0.000126101992492599,0.0331157604247043
"Trib2",343.694451062919,-2.09903200758549,0.54794351093942,-3.83074526055945,0.000127755718267958,0.0331157604247043
"B230206H07Rik",121.445965870971,2.29025555026425,0.598063219662809,3.82945393558143,0.000128427919330185,0.0331157604247043
"Slc25a35",201.465121112876,5.18618887165577,1.35570233232042,3.82546282322837,0.000130526631994541,0.033122686757091
"Smagp",172.852424651194,2.05288504259162,0.538488052103904,3.81231307653137,0.000137672338604448,0.0343901199573329
"Ern2",58.1636930379286,5.00011683187503,1.31522240860195,3.80172722056192,0.000143690877311618,0.0353413239320129
"Tpcn1",853.411946595236,-1.22449244479884,0.322669526567716,-3.79488096636812,0.00014771430752343,0.0357804338541982
"Slc12a8",216.224810034027,5.06111161611056,1.33685610698798,3.78583124216229,0.000153195617519256,0.0365543035414977
"Reg3b",7009.15224018173,10.0873775640301,2.66987472614933,3.77822130200796,0.000157952487923251,0.0366545319128983
"Ttc39a",132.774465732553,3.27655436376469,0.867311370242849,3.77782936576428,0.00015820120735535,0.0366545319128983
"Pgap6",305.609032887137,3.42987358679944,0.910295273231275,3.76786927018134,0.0001646468820102,0.0372553159438592
"Cox6a2",13.221765352983,7.3757840964248,1.95956478335543,3.76399094282302,0.000167222942710905,0.0372553159438592
"Cltrn",56.1575675109161,5.55165205846371,1.47526655071025,3.7631518560432,0.000167785247260766,0.0372553159438592
"Sh2d7",54.2549160962917,5.93174129477123,1.58205396422342,3.74939251688733,0.000177263450542755,0.0388206956688634
"Klhdc8a",61.0410620448373,-3.78573887148983,1.01188467487128,-3.74127503410546,0.00018308902289663,0.0393238053804242
"Pld1",210.572884833152,-1.2942817677213,0.346122721523526,-3.73937244577378,0.000184480227905912,0.0393238053804242
"Mmp10",84.8512143981091,-3.78116011917321,1.01805411148766,-3.7141052489321,0.000203923916300888,0.0425096950593539
"Gm16731",168.27474965927,1.78752091345469,0.481410644013038,3.71308972014811,0.000204744262186167,0.0425096950593539
