#KEY	C23.fq	C25.fq	C28.fq	K05.fq	K23.fq	K25.fq
Creb3	468	486	420	395	222	423
Creb3l1	460	272	389	233	362	472
Creb3l2	1855	704	1095	737	119	503
Creb3l3	150	16	7	136	201	32
Creb3l4	32	18	26	13	15	78
Creb5	103	266	150	146	21	155
Crebbp	761	723	417	615	138	531
Crebl2	210	160	106	138	89	151
Crebrf	559	492	321	314	351	314
Crebzf	552	768	608	508	285	835
Creg1	437	414	306	332	595	567
Creg2	10	18	26	19	0	30
Creld1	465	417	385	425	65	328
Creld2	335	380	343	385	661	427
Crem	132	120	134	98	37	127
Crh	0	0	1	0	0	0
Crhbp	0	2	2	0	0	0
Crhr1	0	0	0	0	0	0
Crhr2	0	2	0	2	0	6
Crim1	923	1099	549	964	206	568
Crip1	2056	531	868	1521	400	1170
Crip2	1601	292	335	108	265	764
Crip3	2	1	0	0	0	1
Cript	218	232	282	293	123	268
Crisp1	292	19	5	61	0	4
Crisp2	0	0	0	2	1	3
Crisp3	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0
Crispld1	6	0	0	3	3	17
Crispld2	1012	314	265	388	565	1588
Crk	1451	1178	2002	1662	454	1619
Crkl	714	749	485	509	139	548
Crlf1	689	640	416	354	257	721
Crlf2	284	312	199	277	129	466
Crlf3	188	166	299	247	66	280
Crls1	210	283	199	267	123	236
Crmp1	6	32	21	1	8	33
Crnde	74	67	47	99	1	3
Crnkl1	292	256	287	360	67	297
Crnn	0	0	0	0	0	0
Crocc	187	266	296	167	83	182
Crocc2	18	19	25	5	11	82
Crot	555	306	393	425	168	484
Crp	192	120	21	14	49	73
Crppa	43	42	61	66	12	34
Crtac1	0	0	0	2	0	0
Crtam	0	0	2	6	0	5
Crtap	2047	1042	767	1076	130	1067
Crtc1	374	276	286	177	153	257
Crtc2	591	460	617	734	300	474
Crtc3	389	361	344	484	155	426
Crx	0	0	0	0	0	0
Crxos	0	0	0	1	0	0
Cry1	120	156	149	181	85	159
Cry2	395	296	180	315	270	238
Cryaa	44	7	8	11	0	3
Cryab	447	95	47	258	51	179
Cryba1	1	1	0	1	0	0
Cryba2	0	0	0	3	12	3
Cryba4	3	4	115	8	0	6
Crybb1	0	0	26	1	0	8
Crybb2	0	0	0	0	0	0
Crybb3	15	7	7	1	7	12
Crybg1	279	773	599	1260	194	731
Crybg2	4	16	2	3	36	31
Crybg3	255	214	218	173	113	394
Cryga	0	0	0	0	0	0
Crygb	0	0	0	0	0	0
Crygc	0	0	0	0	0	0
Crygd	0	0	0	0	0	0
Cryge	0	0	0	0	0	0
Crygf	0	0	0	0	0	0
Crygn	4	2	0	2	0	5
Crygs	0	0	0	0	0	0
Cryl1	155	101	97	146	86	150
Crym	18	11	12	7	3	4
Cryz	298	354	339	702	95	162
Cryzl1	319	222	219	231	93	199
Cryzl2	83	120	51	103	51	199
Cs	874	1026	1659	2499	624	1482
Csad	946	383	391	380	201	469
Csdc2	173	127	25	22	2	55
Csde1	3135	3079	3379	4703	981	2454
Cse1l	548	821	970	774	130	592
Csf1	939	657	712	256	77	1080
Csf1r	2270	1422	988	746	497	4864
Csf2	7	21	15	30	9	35
Csf2ra	500	377	293	168	192	943
Csf2rb	489	492	310	423	163	1314
Csf2rb2	189	292	189	156	103	867
Csf3	1	43	22	8	4	14
Csf3r	84	283	46	105	38	486
Csgalnact1	206	260	370	316	17	381
Csgalnact2	429	402	465	829	88	334
Csk	880	901	676	797	290	1276
Csl	0	0	0	0	0	0
Csmd1	2	8	0	7	6	21
Csmd2	0	0	0	0	3	2
Csmd3	2	0	0	0	0	0
Csn1s1	0	0	0	0	0	0
Csn1s2a	0	0	0	0	0	0
Csn1s2b	0	0	0	0	0	1
Csn2	0	0	0	0	0	0
Csn3	3	2	10	12	0	9
Csnk1a1	2930	3009	3134	4149	880	2983
Csnk1d	1790	1393	2275	1979	656	1988
Csnk1e	1295	1310	1079	2086	269	921
Csnk1g1	468	408	354	384	99	436
Csnk1g2	1208	1275	1695	2000	895	1926
Csnk1g3	760	638	817	1266	125	501
Csnk2a1	1141	1027	992	1293	280	867
Csnk2a2	356	369	413	668	110	286
Csnk2b	59	78	104	105	18	114
Csnka2ip	0	0	0	0	0	1
Cspg4	173	360	103	48	55	476
Cspg4b	24	27	13	26	5	91
Cspg5	8	5	4	4	0	3
Cspp1	183	304	205	190	104	196
Csprs	1	3	0	3	0	3
Csrnp1	147	208	160	453	51	176
Csrnp2	104	85	98	75	29	92
Csrnp3	0	1	0	0	0	1
Csrp1	1711	2337	1749	1554	719	2754
Csrp2	391	580	629	668	222	814
Csrp3	2	0	0	149	0	0
Cst10	0	0	0	0	0	0
Cst11	0	0	0	0	0	0
Cst12	1	0	0	0	0	0
Cst13	0	0	0	0	0	0
Cst3	2827	2346	1454	2000	2862	4559
Cst6	1	5	5	7	8	0
Cst7	3	4	2	1	2	38
Cst8	0	0	0	0	0	1
Cst9	0	0	0	0	0	0
Csta1	1	0	0	0	0	0
Csta2	1	0	2	4	1	0
Csta3	0	0	0	0	0	0
Cstad	5	5	7	0	0	22
Cstb	553	539	923	1212	220	819
Cstdc1	0	0	0	0	0	0
Cstdc2	1	0	0	0	0	1
Cstdc4	6	19	3	36	0	12
Cstdc5	0	1	1	24	0	0
Cstdc6	0	0	0	0	0	0
Cstf1	236	267	290	401	70	231
Cstf2	301	531	630	730	67	382
Cstf2t	368	399	407	269	107	382
Cstf3	212	267	348	210	60	263
Cstl1	0	0	0	0	0	0
Ct55	15	21	8	8	0	4
Ctag2	0	0	0	0	0	0
Ctag2l1	0	0	0	0	0	0
Ctag2l2	0	0	0	0	0	0
Ctbp1	2231	2085	2223	2626	803	1880
Ctbp2	721	635	657	1055	186	689
Ctbs	129	190	225	342	73	148
Ctc1	285	290	555	575	102	380
Ctcf	676	806	917	843	279	774
Ctcfl	2	0	0	0	0	0
Ctcflos	11	0	0	0	0	0
Ctdnep1	542	534	1015	704	307	802
Ctdp1	371	349	432	548	124	435
Ctdsp1	1346	1165	1417	1077	697	1237
Ctdsp2	2129	1987	2319	1989	1357	2553
Ctdspl	480	510	308	250	245	417
Ctdspl2	438	520	495	598	85	252
